Name,Ralenov,Sulimo,Sephgonewild
Leggings of the Fallen Champion Offspec 2,,,
Leggings of the Fallen Defender,,,Sephgonewild:49
Leggings of the Fallen Defender Offspec 1,,,
Leggings of the Fallen Defender Offspec 2,,,
Leggings of the Fallen Hero,,,
Glaive of the Pit,,,
Aegis of the Vindicator,Ralenov:42,,
Crystalheart Pulse-Staff,,,
Eredar Wand of Obliteration,,,Sephgonewild:43
Soul-Eater's Handwraps,,,
Liar's Tongue Gloves,,,
Terror Pit Girdle,,,
Girdle of the Endless Pit,,,
Thundering Greathelm,,,
Cloak of the Pit Stalker,,,
Eye of Magtheridon,,,Sephgonewild:50
Karaborian Talisman,,,Sephgonewild:41
Chestguard of the Fallen Champion,,,
Chestguard of the Fallen Champion Offspec 1,,,
Chestguard of the Fallen Champion Offspec 2,,,
Chestguard of the Fallen Defender,,,Sephgonewild:48
Chestguard of the Fallen Defender Offspec 1,,,
Chestguard of the Fallen Defender Offspec 2,,,
Chestguard of the Fallen Hero,,,
Magtheridon's Head,Ralenov:38,Sulimo:38,Sephgonewild:41
Wildfury Greatstaff,,,Sephgonewild:39
Serpentshrine Shuriken,,,
Boots of Courage Unending,,,
Pendant of the Perilous,,,
Spyglass of the Hidden Fleet,,,
Totem of the Maelstrom,Ralenov:44,,
Boots of the Shifting Nightmare,,,Sephgonewild:39
Robe of Hateful Echoes,,,Sephgonewild:45
Band of Vile Aggression,,,
Wraps of Purification,,,
Shoulderpads of the Stranger,,,
Blackfathom Warbands,,,
Ranger-General's Chestguard,,,
Brighthelm of Justice,,,
Pauldrons of the Wardancer,,,
Fathomstone,,Sulimo:44,Sephgonewild:46
Idol of the Crescent Goddess,,,Sephgonewild:37
Living Root of the Wildheart,,,Sephgonewild:40
The Seal of Danzalar,,,Sephgonewild:44
Ring of Lethality,,,
Scarab of Displacement,,,
Mallet of the Tides,,,
Cord of Screaming Terrors,,,
Velvet Boots of the Guardian,,,
Boots of Effortless Striking,,,
Grove-Bands of Remulos,,,
Tempest-Strider Boots,,,
Bracers of Eradication,,,
Glowing Breastplate of Truth,Ralenov:43,,
Ancestral Ring of Conquest,,,
Choker of Animalistic Fury,,,
Earring of Soulful Meditation,,,
Libram of Absolute Truth,,,
Fang of the Leviathan,,Sulimo:50,
Orca-Hide Boots,Ralenov:47,,
Coral-Barbed Shoulderpads,Ralenov:46,,
True-Aim Stalker Bands,,,
Girdle of the Invulnerable,,,
Tsunami Talisman,,,
Gloves of the Vanquished Champion,Ralenov:49,,
Gloves of the Vanquished Champion Offspec 1,,,
Gloves of the Vanquished Champion Offspec 2,,,
Gloves of the Vanquished Defender,,,
Gloves of the Vanquished Defender Offspec 1,,,
Gloves of the Vanquished Defender Offspec 2,,,
Gloves of the Vanquished Hero,,,
World Breaker,,,
Soul-Strider Boots,,,
Bloodsea Brigand's Vest,,,
Fathom-Brooch of the Tidewalker,,,
Frayed Tether of the Drowned,,,
Sextant of Unstable Currents,,Sulimo:49,
Leggings of the Vanquished Champion,,,
Leggings of the Vanquished Champion Offspec 1,,,
Leggings of the Vanquished Champion Offspec 2,,,
Leggings of the Vanquished Defender,,,
Leggings of the Vanquished Defender Offspec 1,,,
Leggings of the Vanquished Defender Offspec 2,,,
Leggings of the Vanquished Hero,,,
Luminescent Rod of the Naaru,,,
Band of the Vigilant,,,
Talon of Azshara,,,
Illidari Shoulderpads,,,
Gnarled Chestpiece of the Ancients,,,
Girdle of the Tidal Call,,,
Mantle of the Tireless Tracker,,,
Pauldrons of the Argent Sentinel,,,
Warboots of Obliteration,,,
Razor-Scale Battlecloak,,,
Pendant of the Lost Ages,,,
Ring of Sundered Souls,,,
Serpent-Coil Braid,,,
Fang of Vashj,,,
Lightfathom Scepter,Ralenov:45,,
Serpent Spine Longbow,,,
Vestments of the Sea-Witch,,,
Belt of One-Hundred Deaths,,,
Runetotem's Mantle,,,
Cobra-Lash Boots,,,
Glorious Gauntlets of Crestfall,,,
Krakken-Heart Breastplate,,,
Coral Band of the Revived,,,
Prism of Inner Calm,,,
Ring of Endless Coils,,,
Helm of the Vanquished Champion,,,
Helm of the Vanquished Champion Offspec 1,,,
Helm of the Vanquished Champion Offspec 2,,,
Helm of the Vanquished Defender,,,
Helm of the Vanquished Defender Offspec 1,,,
Helm of the Vanquished Defender Offspec 2,,,
Helm of the Vanquished Hero,,,
Fire-Cord of the Magus,,,
Mantle of the Elven Kings,,,
Bark-Gloves of Ancient Wisdom,,,
Bands of the Celestial Archer,,,
Girdle of Fallen Stars,,,
Seventh Ring of the Tirisfalen,,,
Arcanite Steam-Pistol,,,
Claw of the Phoenix,,,
Talon of the Phoenix,,,
Netherbane,,,
Netherbane 2,,,
Mindstorm Wristbands,,,
Gloves of the Searing Grip,,,
Fire Crest Breastplate,,,
Phoenix-Wing Cloak,,,
Band of Al'ar,,,
Phoenix-Ring of Rebirth,,,
Talisman of the Sun King,,,
Talon of Al'ar,,,
Tome of Fiery Redemption,,,
Cowl of the Grand Engineer,,,Sephgonewild:49
Girdle of Zaetar,,,
Void Reaver Greaves,,,
Fel-Steel Warhelm,,,
Wristguards of Determination,,,
Fel Reaver's Piston,,,
Warp-Spring Coil,,,
Pauldrons of the Vanquished Champion,,,
Pauldrons of the Vanquished Champion Offspec 1,,,
Pauldrons of the Vanquished Champion Offspec 2,,,
Pauldrons of the Vanquished Defender,,,Sephgonewild:42
Pauldrons of the Vanquished Defender Offspec 1,,,
Pauldrons of the Vanquished Defender Offspec 2,,,
Pauldrons of the Vanquished Hero,,,
Ethereum Life-Staff,,,
Heartrazor,,,
Wand of the Forgotten Star,,,
Star-Soul Breeches,,,
Trousers of the Astromancer,,,
Vambraces of Ending,,,
Star-Strider Boots,,,Sephgonewild:38
Worldstorm Gauntlets,,,
Boots of the Resilient,,,
Girdle of the Righteous Path,,,
Greaves of the Bloodwarder,,,
Solarian's Sapphire,,,
Void Star Talisman,,,
Rod of the Sun King,,,
The Nexus Key,,Sulimo:47,
Twinblade of the Phoenix,,,Sephgonewild:38
Crown of the Sun,,,
Gauntlets of the Sun King,,,
Leggings of Murderous Intent,,,
Sunhawk Leggings,,,
Royal Gauntlets of Silvermoon,,,
Royal Cloak of the Sunstriders,,,Sephgonewild:40
Sunshower Light Cloak,,,
Thalassian Wildercloak,,,
Band of the Ranger-General,,,
Chestguard of the Vanquished Champion,,,
Chestguard of the Vanquished Champion Offspec 1,,,
Chestguard of the Vanquished Champion Offspec 2,,,
Chestguard of the Vanquished Defender,,,Sephgonewild:43
Chestguard of the Vanquished Defender Offspec 1,,,
Chestguard of the Vanquished Defender Offspec 2,,,
Chestguard of the Vanquished Hero,,,
Ashes of Al'ar,,Sulimo:50,Sephgonewild:48
Verdant Sphere,,Sulimo:48,Sephgonewild:44
